목포시   근대역사문화공간  재생활성화 사업 흔들림 없이 추진,2
 확 달라진 베트남 축구  박항서 매직은 현재 진행형,2
 홈  창원에서 3년 만에 왕좌 되찾은 3점왕과 덩크왕,2
대형사고 위험 77개 건설현장에 작업중지 명령,2
靑  소득주도 혁신 공정  대통령 머릿속에서 지워진 적 없어 ,2
1조원 홍보효과  목포  원도심 재생사업 흔들림 없이 추진  한목소리,2
상처받은 도시인 치유하는 그곳  환자 아닌 고객 대접,2
김수현 정책실장  부동산 조금이라도 불안하면 지체없이 추가대책 ,2
북미정상회담 궤도 올랐지만 한 달동안 치열한  수싸움  예고,2
오청성 귀순사태 또 벌어지면  길어지는 남북 JSA 고민,2
 여성이 살고 싶은 농촌  경남도  여성농업인 바우처 지원 확대,2
 박항서 매직  베트남  승부차기 끝에 요르단 꺾고 8강행,2
양승태 前 대법원장  운명 가를  한 주  밝았다,2
정치인 없이 핵심부대 꾸린 황교안?오세훈 부족한 2%는 ,2
창원시  시민들과  경제살리기 해법찾기  머리맞댔다,2
손혜원 탈당 고소 배수진 전화위복  막다른 골목 ,2
조성민 김종규의 이구동성  홈인데 대충하면 안 되죠 ,2
전통시장 산책로 통학로 서울시내 금연구역 늘어난다,2
 재판민원  여야 없다  유권무죄  무권유죄  뿌리 뽑아야,2
 알함브라 궁전의 추억  현빈 박신혜가 전한 종영소감,2
北김영철 은밀했던 美워싱턴 2박3일 마치고 귀국길,2
 반갑다  기해년  해운대해수욕장 해맞이객 20만명 운집,2
 주장  손흥민 없는 한국  빈 자리가 컸다,2
아쉬움만 남긴 벤투 감독의 첫 번째 스리백 실험,2
청와대 청원으로 번진  카이 제니 열애설  보도,2
소파에 앉아서 아메리칸 식으로 더욱 세련된 김정은 신년사,2
 제로페이  도입 소상공인 경영비용 줄인다,2
김정은  지난해  핵단추 → 올해는  핵무기 만들지도 않겠다   종합 ,2
아베 총리  화기관제 레이더 조준 위험한 행위   재발방지책 마련돼야 ,2
KBS 연기대상  올해도 공동대상  유동근 김명민,2
지난해 수출 6천55억 달러 사상 최대,2
전략연  北 개성공단 재개 언급  南 제재완화 나서달라는 요구 ,2
공군참모총장 새해맞이 지휘비행 영공수호 다짐,2
실험에 집중한  벤투호   사우디와 아쉬운 무승부,2
 SBS 연기대상  감우성×김선아 공동 대상  내일도  굿모닝  ,2
소지섭 코코  연정훈 둘째 소식  MBC  연기대상 의 순간들,2
김정은 신년사  여야  환영  한국당만  진전 없어 ,2
메이웨더  2분 뛰고 1천억원 챙겼다 1라운드 KO승,2
김정은  미국과 대전환을 맞은 것처럼 좋은 결과 믿고싶다 ,2
박성훈♥류현경  백진희♥윤현민  사랑 넘친  연기대상 ,2
기해년 경남은 무엇이 달라지나 제로페이 실시 전면 무상급식,2
 삼성노조 분회장 시신탈취 경찰 개입 규탄 몸통수사하라 ,2
文 대통령과 새해맞이 산행 함께 한 義人 6인은 ,2
원희룡 제주지사  새해 민생 경제 일자리에 집중할 것 ,2
경남도  놀고 먹는  공로연수  확 바꾼다 사회공헌활동 참여,2
 라디오매거진 인터뷰 김석준 부산시교육감,2
트럼프  시리아 미군 철수  천천히  속도조절 시사,2
새해 첫 여행  전남서  휴식 보양  한꺼번에,2
사학법인 보복 징계 반복  교육청   징계권  가져와야,2
문 대통령에게 새해인사  전화  받은 각계인사 10人은 ,2
신한금융 신년 화두는 시너지 KB금융은 충실한 기본기,2
 靑폭로  신재민  공익제보자  사회서 인정받고 즐겁게 제보해야 ,2
 대한민국임시정부 건국강령 초안  문화재 등록,2
카카오M  이병헌 김태리 공유 소속사 인수,2
경기도 5만명 청원 이재명이 직접 답한다,2
 日 역대 2위 몸값  美 무대 도전하는 좌완 파이어볼러 기쿠치,2
미국판  복면가왕  2일 FOX서 첫방 의상 한 벌 2억 원,2
종합적인 해양수산정보 관리 기반 마련   121억 투입,2
서대석 광주 서구청장  주민 주도 실질적 지방자치 활성화 ,2
문 대통령  경제성장 혜택을 온 국민이 함께 누려야 ,2
임세원 교수 유족  의료진 안전  낙인없는 정신 치료 환경 조성되길 ,2
윤상기 하동군수  하동 100년 미래 핵심프로젝트 추진 ,2
여수시 새해 설계  인구 30만 명 회복 기반 조성 ,2
날개는  수비  센터는  공격  현대건설 승부수 통했다,2
김삼호 광주 광산구청장  2019년을  내 삶이 행복한 광산 의 원년으로 ,2
삼성전자 사상 최초의  기술명장  4명 탄생했다,2
인공지능 기술로  재난상황 인명구조  가능할까,2
 靑 특감반 폭로  김태우 내일 檢 출석 석동현 변호사 사임,2
전남도  전국 최초 구제역 백신 비용 100% 보조,2
문 대통령  촛불 방식으로 경제 바꿔야 ,2
염태영 수원시장  수원시민과 함께 특례시 완성해 나가겠다 ,2
적장도 인정한 OK저축은행  투혼의 졌잘싸 ,2
 수소도시 본격 시동 부산시  2020년까지 수소차 천대 보급,2
 손금주 이용호 민주당 입당  광주전남 정계개편 급물살 ,2
국민연금공단  비정규직근로자 1 231명 전원 정규직 전환,2
금융위  새해  핀테크 활성화  관련 제도추진,2
 수도권 주요 뉴스  경기도  공공건설노동자에 시중노임단가 이상 임금 지급,2
새해 첫날 KBS  뉴스9   앵커도 타이틀 음악도 바뀌었다,2
 변화와 혁신  외친 신동빈 정용진 정지선,2
허성곤 김해시장  국토부  시의회 검증단 이야기 안 듣는다 ,2
이통3사 CEO  5G 혁신으로 글로벌 시장 선도 ,2
오세훈  한국당 당권 주자 중 가장 빠른 스타트,2
이재명  신년사 낭독 대신 경제살리기 방안 역설,2
부산시  장애인 의무고용률 3 4%로 확대,2
제주 부동산 외국인 투자자가 반발하는 이유는 ,2
신규 축산업 허가 가축사육업 등록 요건 강화된다,2
MB  하고픈 말 많지만 재판 끝나고 밝히겠다 ,2
 SKY 캐슬 의사 흉기 위협 장면은 현실입니다 ,2
문인 광주 북구청장   소통 행정으로 주민이 행복한 북구 만들 것 ,2
포항시  지속가능한 환동해 중심도시  원년 선포,2
2019광주세계수영대회 입장권 온라인 판매 시작,2
통일부   개성공단 금강산 관광 재개  여건 마련에 주력해야 ,2
대화의지 교환한 北 美   향후 우리 정부 중재역할 커지나,2
380여일 만에 구속만료 우병우 2일 자정 석방된다,2
 신년기획③  전남도  일자리 창출과 경제 활성화에 총력,2
자율주행차 시대 성큼  속도조절 하는 업계,2
 이런 정부 행사 처음이야  중기중앙회의 기대,2
허성무 창원시장  새벽인력시장서 새해 민생행보 시동,2
이 총리  새해에는 호랑이처럼 보면서 소처럼 걸어가자 ,2
대법원장  檢사법농단 수사  공정한 재판 위해 불가피한 일 ,2
10분 동안  고객 만 30번 언급한 LG 구광모회장,2
이영애 제일병원 도움 현실화까지는 멀었다,2
안현모♥라이머   동상이몽2  새로 합류  14일 첫 방송,2
1조원 바이백 취소  뜨거운 감자  2017년 11월 무슨일 있었나,2
신춘수   팝시컬 은 뮤지컬 대중화의 고민 결과 ,2
이재명 새해 첫 親 노동행보   콜센터 비정규직→ 정규직 전환,2
경기도  이달부터 가맹 대리점간  분쟁조정  시작,2
 경제 위기  직시한 창원시  시무식 대신  경제살리기 대책보고회 ,2
이재수?춘천시장? 새해?안전한?도시 ?문화예술?도시?만들기?주력 ,2
보수의 텃밭 대구에서  전태일 열사 기념 사업 돛 달았다,2
임택 광주 동구청장  문화 예술 활성화와 열린 소통 펼치겠다 ,2
충남도  복지수도를 꿈꾼다  혁신도시 지정도 추진,2
트럼프  펠로시에게  협상할까요   연방정부 셧다운사태 해결될까,2
 연말 방북  예장합동 이승희 총회장   교회  민족통일 선도적으로 구현해 가야 ,2
 칼럼  뭉클한 감동 주는 의사의 죽음과 남은 자들의 몫,2
팬들과 함께 달린 KBL 올스타 창원행 기차여행,2
백악관  2차 북미 정상회담 2월 말쯤 개최 스웨덴서는 실무급 회담 ,2
홍석천  중앙일보 기사에 아쉬움 표한 이유,2
피아노 치고 노래방 가고  황재균   나 혼자 산다 서 일상 공개,2
 각종 규제를 유예 면제  경남서 규제자유특구제도 설명회,2
靑  2월말 북미정상회담 성공이 김정은 답방으로 이어지길 기대 ,2
 뭐 이래 관심이 많노  박항서 감독의 수줍은 인사,2
美 완전한 비핵화 정조준하고  2차 북미회담 준비 본격화,2
오지환 4억 채은성 3억대 이동현은 5억 삭감,2
부산 정치권   롯데 현지법인화 해야  고강도 압박,2
외신  2차 북미정상회담 2월말쯤 개최  긴급 타전,2
